CRR_ID,OriginalCRR_ID,AccountHolder,HedgeType,BidType,CRRType,Source,Sink,StartDate,EndDate,TimeOfUse,Bid24Hour,MW,ShadowPricePerMWH,NumberOfHours,MWh
178855253,,XBRAV1,OBL,BUY,PREAWARD,FRONT_EC_RN2,GKS_BESS_RN,03/01/2027,03/31/2027,PeakWE,No,0.7,-3.569572,128.0,89.6
178805816,,XKANAP,OPT,BUY,PREAWARD,GALO_RN1,RAMBLER_UNIT,01/01/2027,01/31/2027,PeakWE,No,4.0,1.418929,176.0,704.0
178630540,,XUNCIA,OPT,BUY,PREAWARD,LGE_LGE_GT1,INGLCO_PUN2,01/01/2027,06/30/2027,PeakWE,No,1.5,0.298737,864.0,1296.0
178600777,,XEXELO,OBL,BUY,PREAWARD,WHCCS2_5_6,HB_NORTH,01/01/2027,06/30/2027,PeakWE,No,10.0,0.339892,864.0,8640.0
178655659,,XFREEP,OPT,BUY,PREAWARD,CATARINA_B1,MCLNSLR_RN,06/01/2027,06/30/2027,PeakWE,No,1.9,0.6,128.0,243.2
178630759,,XUNCIA,OPT,BUY,PREAWARD,LEG_LEG_G1,ROSELAND_ALL,01/01/2027,06/30/2027,PeakWE,No,1.0,0.646409,864.0,864.0
178701557,,XCWPE2,OPT,BUY,PREAWARD,BR_ARROW_ALL,HB_NORTH,01/01/2027,01/31/2027,PeakWE,No,0.8,0.335642,176.0,140.8
178608191,,XTENS3,OPT,BUY,PREAWARD,RRC_WIND_ALL,SHEEPCRK_1,01/01/2027,06/30/2027,PeakWE,No,10.0,0.014074,864.0,8640.0
178631908,,XSESKP,OBL,BUY,PREAWARD,GWEC_G1,BUCKTHRN_RN,04/01/2027,04/30/2027,PeakWE,No,1.5,-10.0,128.0,192.0
178833113,,XTARH1,OPT,BUY,PREAWARD,MYR_ALL,BTM_ALL,01/01/2027,01/31/2027,PeakWE,No,10.0,0.189607,176.0,1760.0
178833139,,XTARH1,OPT,BUY,PREAWARD,WLTC_ESR_RN,CCEC_PUN2,01/01/2027,01/31/2027,PeakWE,No,0.4,0.167711,176.0,70.4
178776267,,XSCEN2,OPT,BUY,PREAWARD,ELS_RN_1,MERCURY_ALL,03/01/2027,06/30/2027,PeakWE,No,3.0,0.480575,560.0,1680.0
178833564,,XTARH1,OPT,BUY,PREAWARD,RN_OCI_ALAMO,CALAVER_JTD1,02/01/2027,02/28/2027,PeakWE,No,9.5,0.273634,128.0,1216.0
178595049,,XJARON,OBL,BUY,PREAWARD,HB_NORTH,HB_WEST,01/01/2027,01/31/2027,PeakWE,No,7.5,2.815464,176.0,1320.0
178856120,,XBPPUS,OPT,BUY,PREAWARD,HB_PAN,HB_NORTH,04/01/2027,04/30/2027,PeakWE,No,0.7,5.341028,128.0,89.6
178605039,,XHWE,OBL,BUY,PREAWARD,MIRASOLE_GEN,HB_SOUTH,02/01/2027,04/30/2027,PeakWE,No,2.0,6.129681,384.0,768.0
178688909,,XDYNE3,OPT,BUY,PREAWARD,NCO_RN,WES_ALL,05/01/2027,06/30/2027,PeakWE,No,0.3,0.13311,304.0,91.2
178591309,,XSESSW,OPT,BUY,PREAWARD,HOVEY_GEN,REROCK_ALL,06/01/2027,06/30/2027,PeakWE,No,5.9,0.09,128.0,755.2
178659206,,XCC8C2,OPT,BUY,PREAWARD,SHEEPCRK_1,RRC_WIND_ALL,04/01/2027,04/30/2027,PeakWE,No,2.0,0.02,128.0,256.0
178834928,,XTARH1,OPT,BUY,PREAWARD,PNPI_GT2_RN,WAP_WAP_G3,04/01/2027,04/30/2027,PeakWE,No,9.7,0.061788,128.0,1241.6
178610826,,XSHEL3,OBL,BUY,PREAWARD,HB_SOUTH,HB_NORTH,06/01/2027,06/30/2027,PeakWE,No,50.0,-0.87,128.0,6400.0
178614310,,XEDIS2,OBL,BUY,PREAWARD,MISAE_GEN_RN,GRIF_TRL_RN,01/01/2027,06/30/2027,PeakWE,No,1.2,1.69785,864.0,1036.8
178786609,,XMAIA,OPT,BUY,PREAWARD,CPSES_UNIT1,WHCCS2_5_6,04/01/2027,06/30/2027,PeakWE,No,5.0,0.072832,432.0,2160.0
178855426,,XBRAV1,OBL,BUY,PREAWARD,MAINLAND_RN,ALVIN_RN,02/01/2027,02/28/2027,PeakWE,No,9.0,-1.59524,128.0,1152.0
178596663,,XLUTRD,OBL,BUY,PREAWARD,FRNYPP_1_CCU,HB_NORTH,05/01/2027,05/31/2027,PeakWE,No,33.3,0.04,176.0,5860.799999999999
178673068,,XPEAKE,OPT,BUY,PREAWARD,WIR_WIRTZ_G1,JC_BAT_RN,02/01/2027,02/28/2027,PeakWE,No,5.8,0.348418,128.0,742.4
