DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1309 BLUFCKTA 1310 KNAPP_8 1,Line,To - From,-185.7,185.7,Hard Constraint,DMTSCOS5,NOV_2025,Off-peak,2069.12
1309 BLUFCKTA 1310 KNAPP_8 1,Line,To - From,-181.8,181.8,Hard Constraint,DMTSCOS5,NOV_2025,PeakWD,1373.39
1309 BLUFCKTA 1310 KNAPP_8 1,Line,To - From,-181.8,181.8,Hard Constraint,DMTSCOS5,NOV_2025,PeakWE,141.86
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,184.4,184.4,Hard Constraint,SECRDMT8,NOV_2025,PeakWD,1368.01
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,192.2,192.2,Hard Constraint,SECRDMT8,NOV_2025,PeakWE,142.09
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-190.0,190.0,Hard Constraint,DMTSCOS5,NOV_2025,Off-peak,11987.31
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-186.2,186.2,Hard Constraint,DMTSCOS5,NOV_2025,PeakWD,11988.41
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-181.8,181.8,Hard Constraint,DMTSCOS5,NOV_2025,PeakWE,10204.93
1313 ENISCKTA 1315 BRAND_8 1,Line,From - To,363.6,363.6,Hard Constraint,DMTSCOS5,NOV_2025,PeakWD,12.36
1313 ENISCKTA 1315 BRAND_8 1,Line,From - To,363.6,363.6,Hard Constraint,DMTSCOS5,NOV_2025,PeakWE,57.51
13142 TYLERSW 13235 CHANDLE 1,Line,From - To,32.4,32.4,Hard Constraint,DMLSENT5,NOV_2025,PeakWE,482.92
13142 TYLERSW 13235 CHANDLE 1,Line,From - To,32.4,32.4,Hard Constraint,DTRSENT5,NOV_2025,PeakWE,961.46
1319 CHINAGRV 1376 AMOCOTAP 1,Line,To - From,-40.5,40.5,Hard Constraint,SSNYCGR8,NOV_2025,Off-peak,53.27
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,220.3,220.3,Hard Constraint,DSALHUT5,NOV_2025,Off-peak,643.18
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,229.8,229.8,Hard Constraint,DSALHUT5,NOV_2025,PeakWD,34823.51
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,226.3,226.3,Hard Constraint,DSALHUT5,NOV_2025,PeakWE,18436.21
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,60.3,60.3,Hard Constraint,DCONLNG5,NOV_2025,PeakWD,164.26
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,60.3,60.3,Hard Constraint,DCONLNG5,NOV_2025,PeakWE,40.97
