DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-166.5,166.5,Hard Constraint,DMTSCOS5,AUG_2025,PeakWE,4393.13
13142 TYLERSW 13235 CHANDLE 1,Line,From - To,28.8,28.8,Hard Constraint,DTRCTYG5,AUG_2025,PeakWD,15760.56
13142 TYLERSW 13235 CHANDLE 1,Line,From - To,28.8,28.8,Hard Constraint,DTRSENT5,AUG_2025,PeakWE,688.24
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,191.7,191.7,Hard Constraint,DSALHUT5,AUG_2025,PeakWD,19744.79
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,191.7,191.7,Hard Constraint,DSALHUT5,AUG_2025,PeakWE,6101.7
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,55.8,55.8,Hard Constraint,DMGSCON5,AUG_2025,Off-peak,53.67
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,55.8,55.8,Hard Constraint,DMGSCON5,AUG_2025,PeakWD,79.3
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,55.8,55.8,Hard Constraint,DMGSCON5,AUG_2025,PeakWE,55.09
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,166.5,166.5,Hard Constraint,DMCDSHP8,AUG_2025,PeakWD,45.93
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,166.5,166.5,Hard Constraint,DMCDSHP8,AUG_2025,PeakWE,8.89
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,AUG_2025,PeakWD,31.13
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,AUG_2025,PeakWE,12.84
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,AUG_2025,Off-peak,91.41
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,AUG_2025,PeakWD,123.61
1355 BUZZDRAW 23829 KOCHTAP 1,Line,To - From,-353.7,353.7,Hard Constraint,SW_LVLT5,AUG_2025,Off-peak,17247.12
1355 BUZZDRAW 23829 KOCHTAP 1,Line,To - From,-353.7,353.7,Hard Constraint,SW_LVLT5,AUG_2025,PeakWD,8211.35
1355 BUZZDRAW 23829 KOCHTAP 1,Line,To - From,-353.7,353.7,Hard Constraint,SW_LVLT5,AUG_2025,PeakWE,3728.28
1360 GUNSIGHT 1396 HIGHPLAI 1,Line,From - To,111.6,111.6,Hard Constraint,SBSPBUZ8,AUG_2025,PeakWD,87.67
1380 PLOWBOY_ 1381 SWEETWTR 1,Line,To - From,-37.8,37.8,Hard Constraint,SFLNBHI9,AUG_2025,Off-peak,2.51
139 LAKEBELTO 3610 BELTON1_ 1,Line,To - From,-212.4,212.4,Hard Constraint,SCAYBOS8,AUG_2025,PeakWE,54.73
1430 GRHAMSES 17002 GARVEYR 1,Line,To - From,-958.5,958.5,Hard Constraint,SBOMJC25,AUG_2025,Off-peak,30.72
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,166.5,166.5,Hard Constraint,SCMNCPS5,AUG_2025,Off-peak,832.38
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,166.5,166.5,Hard Constraint,DCPSMBD5,AUG_2025,PeakWD,143.19
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,166.5,166.5,Hard Constraint,XCMB58,AUG_2025,PeakWD,4629.88
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,166.5,166.5,Hard Constraint,XCMB58,AUG_2025,PeakWE,1605.9
1441 COMCHESS 1667 PINKNEY_ 1,Line,From - To,166.5,166.5,Hard Constraint,SZEPCMN8,AUG_2025,PeakWD,865.81
1473 NAVYKSS1 1604 ANARENE1 1,Line,From - To,37.8,37.8,Hard Constraint,SSCLWF18,AUG_2025,Off-peak,289.98
1473 NAVYKSS1 1604 ANARENE1 1,Line,From - To,37.8,37.8,Hard Constraint,SSCLWF18,AUG_2025,PeakWD,1452.67
1473 NAVYKSS1 1604 ANARENE1 1,Line,From - To,37.8,37.8,Hard Constraint,SSCLWF18,AUG_2025,PeakWE,204
1500 PARKWAY1 901199 BOWMAN 1,Line,To - From,-191.7,191.7,Hard Constraint,DWFCBOM8,AUG_2025,Off-peak,3.68
1500 PARKWAY1 901199 BOWMAN 1,Line,To - From,-191.7,191.7,Hard Constraint,DWFCBOM8,AUG_2025,PeakWD,33.7
1510 DENTN_CR 1568 ALLISON_ 5,Line,From - To,191.7,191.7,Hard Constraint,DEXCHCK5,AUG_2025,PeakWD,199.98
1510 DENTN_CR 1568 ALLISON_ 5,Line,From - To,191.7,191.7,Hard Constraint,SMYRSPR8,AUG_2025,PeakWD,71.89
