SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
MLSES_UNIT2,AUG_2025,PeakWD,-6.580607
MLSES_UNIT3,AUG_2025,PeakWD,-6.580607
ROW_ALL,AUG_2025,PeakWD,-0.406587
MWEC_G1,AUG_2025,PeakWD,-8.805446
E_BLACK_RN,AUG_2025,PeakWD,-7.921511
JAR_RN,AUG_2025,PeakWD,-3.379151
MILTON_RN,AUG_2025,PeakWD,-1.237081
CHE_PUN2,AUG_2025,PeakWD,-9.785286
CHE_PUN1,AUG_2025,PeakWD,-9.785286
THW_1_CCU,AUG_2025,PeakWD,-9.110329
BAKE_RN_ALL,AUG_2025,PeakWD,-5.346866
JC_BAT_RN,AUG_2025,PeakWD,-9.627590
HB_PAN,AUG_2025,PeakWD,-3.124942
SANDLAKE_RN,AUG_2025,PeakWD,-11.783383
DIVR_SLR_RN,AUG_2025,PeakWD,-5.211787
BOSQ_BSQS_34,AUG_2025,PeakWD,-3.497182
TNS_SLR_ALL,AUG_2025,PeakWD,-4.883365
GZ_RN,AUG_2025,PeakWD,-9.320699
GBY_GT,AUG_2025,PeakWD,-9.621291
FLCNS_UNIT3,AUG_2025,PeakWD,-8.886943
FENCESLR_ALL,AUG_2025,PeakWD,-7.200400
FLCNS_UNIT2,AUG_2025,PeakWD,-8.886943
FLCNS_UNIT1,AUG_2025,PeakWD,-8.886943
TOPAZ_ALL,AUG_2025,PeakWD,-11.579167
CORAZON_RN,AUG_2025,PeakWD,13.430110
LGW_UNIT_ALL,AUG_2025,PeakWD,-5.648588
JAG_SLR_RN,AUG_2025,PeakWD,-3.526393
GWEC_G1,AUG_2025,PeakWD,-9.680979
PANDA_S_ST1,AUG_2025,PeakWD,-7.165282
WHCCS_CT1_ST,AUG_2025,PeakWD,-6.044837
BOCO_ESS_RN,AUG_2025,PeakWD,-6.403841
FRNYPP_1_CCU,AUG_2025,PeakWD,-7.057807
TGW_T1_T2,AUG_2025,PeakWD,13.221887
CHIL_SLR,AUG_2025,PeakWD,-5.325502
COYOTSPR_RN,AUG_2025,PeakWD,-11.862865
SAMSON_ALL,AUG_2025,PeakWD,-4.986930
TTWEC_G1,AUG_2025,PeakWD,-14.005118
WIPOPA_3_4,AUG_2025,PeakWD,-3.648729
JUNG_SLR_RN,AUG_2025,PeakWD,-5.142171
WOODWRD1_RN,AUG_2025,PeakWD,-12.262919
LAPETUS_U1,AUG_2025,PeakWD,-11.299437
LV5_UNIT1,AUG_2025,PeakWD,4.497569
FRNYPP_2_CCU,AUG_2025,PeakWD,-7.057807
FLOWERII_RN,AUG_2025,PeakWD,-12.080710
PNPI_GT2_RN,AUG_2025,PeakWD,-8.278900
LFSTH_RN,AUG_2025,PeakWD,-7.111032
CONIGLIO_RN,AUG_2025,PeakWD,-6.893455
MARBFA,AUG_2025,PeakWD,-11.217878
HAYSEN1_2,AUG_2025,PeakWD,-5.453950
HDNLAKES_RN,AUG_2025,PeakWD,-11.833425
FLUVANNA_1_2,AUG_2025,PeakWD,-2.567211
CBY4_ALL,AUG_2025,PeakWD,-10.894900
ROSELAND_ALL,AUG_2025,PeakWD,-4.791957
TC_PUN1,AUG_2025,PeakWD,-9.008859
TC_PUN2,AUG_2025,PeakWD,-9.008859
TURQ_BESS1,AUG_2025,PeakWD,-7.933905
LZ_CPS,AUG_2025,PeakWD,-8.504303
PHOEBE_ALL,AUG_2025,PeakWD,-11.437464
AMADEUS_ALL,AUG_2025,PeakWD,-4.066377
FERGCC_ST1_5,AUG_2025,PeakWD,-9.621798
HHOLLW2_WND1,AUG_2025,PeakWD,-5.561269
HOL_ALL,AUG_2025,PeakWD,-0.790677
FAL_FALCONG1,AUG_2025,PeakWD,4.132213
FAL_FALCONG2,AUG_2025,PeakWD,4.132213
EL_RAYO_ALL,AUG_2025,PeakWD,11.963016
FAL_FALCONG3,AUG_2025,PeakWD,4.132213
CNTRY_RN,AUG_2025,PeakWD,-6.795456
FRYE_SLR_ALL,AUG_2025,PeakWD,-2.897166
CPSES_UNIT2,AUG_2025,PeakWD,-6.001398
THW_THWGT5X,AUG_2025,PeakWD,-9.056652
TAV_RN,AUG_2025,PeakWD,-8.033902
CPSES_UNIT1,AUG_2025,PeakWD,-6.001398
MIL_MILG1_2,AUG_2025,PeakWD,-9.112216
SWOOSEII_RN,AUG_2025,PeakWD,-11.935447
GRANDVW1_A_B,AUG_2025,PeakWD,-3.109023
HB_HOUSTON,AUG_2025,PeakWD,-8.728841
PALMVIEW_RN,AUG_2025,PeakWD,5.581887
ETCCS_CCU,AUG_2025,PeakWD,-6.633526
SCSES_UNIT2,AUG_2025,PeakWD,-6.780400
SPLAIN1_RN,AUG_2025,PeakWD,-3.048361
NBOHR_RN,AUG_2025,PeakWD,-7.160200
MONTECR1_RN,AUG_2025,PeakWD,11.420594
WIPOPA_1_2,AUG_2025,PeakWD,-3.648729
LON_RN1,AUG_2025,PeakWD,-6.945352
WHMESA_U1,AUG_2025,PeakWD,-7.402613
BOARDCRK_ALL,AUG_2025,PeakWD,-6.655682
JAY_RN_1,AUG_2025,PeakWD,-0.673939
BYRDR_ES_ALL,AUG_2025,PeakWD,-5.367865
SBE_RN_1,AUG_2025,PeakWD,-7.514717
PHO_ALL,AUG_2025,PeakWD,-0.998361
REDGATE_RN,AUG_2025,PeakWD,6.408239
TV_RN,AUG_2025,PeakWD,-9.019233
CFLATS_UNIT,AUG_2025,PeakWD,-6.568584
AMO_AMOCO_G1,AUG_2025,PeakWD,-11.754644
AMO_AMOCO_G2,AUG_2025,PeakWD,-11.754644
MERCURY_ALL,AUG_2025,PeakWD,-2.238841
JCKCNTY2_ST2,AUG_2025,PeakWD,-5.174418
AMO_AMOCO_G3,AUG_2025,PeakWD,-11.754644
DOWGEN_PUN4,AUG_2025,PeakWD,-2.168859
FORMOSA_PUN2,AUG_2025,PeakWD,3.818016
DOWGEN_PUN5,AUG_2025,PeakWD,-2.168859
FORMOSA_PUN1,AUG_2025,PeakWD,3.818016
DOWGEN_PUN2,AUG_2025,PeakWD,-2.168859
CBECII_89,AUG_2025,PeakWD,-0.961754
S_HILLS_RN,AUG_2025,PeakWD,-6.817924
DOWGEN_PUN3,AUG_2025,PeakWD,-2.168859
L_FRE_ESR_RN,AUG_2025,PeakWD,14.146691
DOWGEN_PUN1,AUG_2025,PeakWD,-2.168859
SIL_SILAS_9,AUG_2025,PeakWD,7.313016
MGSES_CT123,AUG_2025,PeakWD,-7.738687
ANSON1_ALL,AUG_2025,PeakWD,-5.186494
SGM_SIGNALMT,AUG_2025,PeakWD,-13.301749
CANYONWD_ALL,AUG_2025,PeakWD,-6.085691
SIL_SILAS_6,AUG_2025,PeakWD,7.313016
DOWGEN_PUN6,AUG_2025,PeakWD,-2.168859
PRSPERO2_ALL,AUG_2025,PeakWD,-10.975423
BRP_SWNY_RN,AUG_2025,PeakWD,-5.367865
FAULKNER_RN,AUG_2025,PeakWD,-11.862865
BRTSW_BCW1,AUG_2025,PeakWD,-8.209034
BCK_RN,AUG_2025,PeakWD,-0.579784
WEBBER_WS_T1,AUG_2025,PeakWD,-6.408310
TRINITY_ALL,AUG_2025,PeakWD,-5.389506
COTULLA_RN,AUG_2025,PeakWD,-5.062060
HEARN_RD_RN,AUG_2025,PeakWD,7.911780
SANTACRU_ALL,AUG_2025,PeakWD,9.961887
DDPEC_GT6,AUG_2025,PeakWD,-11.680633
PAVLOV_BT_RN,AUG_2025,PeakWD,-1.710000
EBELLS_UNIT1,AUG_2025,PeakWD,-5.875922
DDPEC_GT1,AUG_2025,PeakWD,-11.680633
DDPEC_GT4,AUG_2025,PeakWD,-11.680633
DDPEC_GT2,AUG_2025,PeakWD,-11.680633
DDPEC_GT3,AUG_2025,PeakWD,-11.680633
PCT_RN,AUG_2025,PeakWD,-0.454883
FOXTROT_ALL,AUG_2025,PeakWD,10.938733
PSA_PUN4,AUG_2025,PeakWD,-10.300481
PSA_PUN5,AUG_2025,PeakWD,-10.157793
ELMCRK_RN,AUG_2025,PeakWD,-39.965796
PSA_PUN2,AUG_2025,PeakWD,-10.157793
PSA_PUN3,AUG_2025,PeakWD,-10.296413
JUNO_ALL,AUG_2025,PeakWD,-6.343841
PSA_PUN1,AUG_2025,PeakWD,-10.157793
RUSSEKST_RN,AUG_2025,PeakWD,-26.926226
RIGGIN_UNIT1,AUG_2025,PeakWD,-11.941362
BASTEN_CCU,AUG_2025,PeakWD,-5.816236
WCPP_CT2,AUG_2025,PeakWD,-5.106906
WCPP_CT1,AUG_2025,PeakWD,-5.106906
KEO_KEO_SM1,AUG_2025,PeakWD,-12.275118
NWF_NWF1,AUG_2025,PeakWD,-11.233266
HRBESS_BESS,AUG_2025,PeakWD,-11.643826
KEECHI_U1,AUG_2025,PeakWD,-7.357667
FREC_1_CCU,AUG_2025,PeakWD,-6.973000
RIONOG_CT2,AUG_2025,PeakWD,-6.172874
RIONOG_CT3,AUG_2025,PeakWD,-6.172874
BTE_PUN2,AUG_2025,PeakWD,-10.800442
WLTC_ESR_RN,AUG_2025,PeakWD,8.986172
BTE_PUN1,AUG_2025,PeakWD,-10.800442
GARC_BESS_RN,AUG_2025,PeakWD,3.787292
GUADG_CCU1,AUG_2025,PeakWD,-4.704883
LGDRAW_S_ALL,AUG_2025,PeakWD,-6.363841
WND_WHITNEY,AUG_2025,PeakWD,-4.632847
PSG_PSG_GT3,AUG_2025,PeakWD,-10.201904
GUADG_CCU2,AUG_2025,PeakWD,-4.704883
MDANP_CT1_2,AUG_2025,PeakWD,-6.783526
RAB_G1-8,AUG_2025,PeakWD,-3.763660
BCNV_RN,AUG_2025,PeakWD,-7.234900
RRANCHES_ALL,AUG_2025,PeakWD,-11.889557
TEN_CT1_STG,AUG_2025,PeakWD,-8.385464
BRP_RN_UNIT1,AUG_2025,PeakWD,-8.453963
PSG_PSG_GT2,AUG_2025,PeakWD,-10.201904
TRENT_TRENT,AUG_2025,PeakWD,-20.417935
TC_GTG2_RN,AUG_2025,PeakWD,-9.008859
KELAMSL_U1,AUG_2025,PeakWD,-7.275682
RIONOG_CT1,AUG_2025,PeakWD,-6.172874
PAP1_PAP1,AUG_2025,PeakWD,9.031887
