SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
MLSES_UNIT1,SEP_2025,PeakWD,-2.490893
MLSES_UNIT2,SEP_2025,PeakWD,-2.490893
MLSES_UNIT3,SEP_2025,PeakWD,-2.490893
ROW_ALL,SEP_2025,PeakWD,-0.834636
MWEC_G1,SEP_2025,PeakWD,-5.081174
E_BLACK_RN,SEP_2025,PeakWD,-9.419704
JAR_RN,SEP_2025,PeakWD,-3.372885
MILTON_RN,SEP_2025,PeakWD,-3.663351
CHE_PUN2,SEP_2025,PeakWD,-6.531784
CHE_PUN1,SEP_2025,PeakWD,-6.531784
THW_1_CCU,SEP_2025,PeakWD,-6.170686
BAKE_RN_ALL,SEP_2025,PeakWD,-2.783403
JC_BAT_RN,SEP_2025,PeakWD,-11.376126
HB_PAN,SEP_2025,PeakWD,1.365040
SANDLAKE_RN,SEP_2025,PeakWD,-10.847553
DIVR_SLR_RN,SEP_2025,PeakWD,-1.360652
BOSQ_BSQS_34,SEP_2025,PeakWD,0.179675
TNS_SLR_ALL,SEP_2025,PeakWD,-1.071655
GZ_RN,SEP_2025,PeakWD,-6.220231
GBY_GT,SEP_2025,PeakWD,-6.504688
FLCNS_UNIT3,SEP_2025,PeakWD,-7.089774
FENCESLR_ALL,SEP_2025,PeakWD,-2.651245
FLCNS_UNIT2,SEP_2025,PeakWD,-7.089774
FLCNS_UNIT1,SEP_2025,PeakWD,-7.089774
TOPAZ_ALL,SEP_2025,PeakWD,-7.183258
CORAZON_RN,SEP_2025,PeakWD,8.011088
LGW_UNIT_ALL,SEP_2025,PeakWD,-3.594017
JAG_SLR_RN,SEP_2025,PeakWD,6.584833
GWEC_G1,SEP_2025,PeakWD,-8.810307
PANDA_S_ST1,SEP_2025,PeakWD,-3.752102
WHCCS_CT1_ST,SEP_2025,PeakWD,-2.135441
BOCO_ESS_RN,SEP_2025,PeakWD,-2.722687
FRNYPP_1_CCU,SEP_2025,PeakWD,-2.489492
TGW_T1_T2,SEP_2025,PeakWD,8.508569
CHIL_SLR,SEP_2025,PeakWD,-1.192476
COYOTSPR_RN,SEP_2025,PeakWD,-11.007544
SAMSON_ALL,SEP_2025,PeakWD,-2.784363
TTWEC_G1,SEP_2025,PeakWD,-8.558535
WIPOPA_3_4,SEP_2025,PeakWD,-1.785110
JUNG_SLR_RN,SEP_2025,PeakWD,-1.462086
WOODWRD1_RN,SEP_2025,PeakWD,-11.597888
LAPETUS_U1,SEP_2025,PeakWD,-10.731524
LV5_UNIT1,SEP_2025,PeakWD,1.203734
FRNYPP_2_CCU,SEP_2025,PeakWD,-2.489492
FLOWERII_RN,SEP_2025,PeakWD,-11.537544
PNPI_GT2_RN,SEP_2025,PeakWD,-5.087691
LFSTH_RN,SEP_2025,PeakWD,-2.832266
CONIGLIO_RN,SEP_2025,PeakWD,-3.411472
MARBFA,SEP_2025,PeakWD,-12.120022
HAYSEN1_2,SEP_2025,PeakWD,-4.888869
HDNLAKES_RN,SEP_2025,PeakWD,-7.334934
FLUVANNA_1_2,SEP_2025,PeakWD,0.787609
TNG_RN,SEP_2025,PeakWD,-2.300602
CBY4_ALL,SEP_2025,PeakWD,-6.966315
ROSELAND_ALL,SEP_2025,PeakWD,-0.741655
TC_PUN1,SEP_2025,PeakWD,-6.460265
TC_PUN2,SEP_2025,PeakWD,-6.460265
TURQ_BESS1,SEP_2025,PeakWD,-4.012194
LZ_CPS,SEP_2025,PeakWD,-11.133507
PHOEBE_ALL,SEP_2025,PeakWD,-10.632700
AMADEUS_ALL,SEP_2025,PeakWD,-0.211411
FERGCC_ST1_5,SEP_2025,PeakWD,-11.776548
HHOLLW2_WND1,SEP_2025,PeakWD,-2.159665
HOL_ALL,SEP_2025,PeakWD,-1.450602
FAL_FALCONG1,SEP_2025,PeakWD,1.066290
FAL_FALCONG2,SEP_2025,PeakWD,1.066290
EL_RAYO_ALL,SEP_2025,PeakWD,6.459382
FAL_FALCONG3,SEP_2025,PeakWD,1.066290
CNTRY_RN,SEP_2025,PeakWD,-2.542488
FRYE_SLR_ALL,SEP_2025,PeakWD,1.660252
CPSES_UNIT2,SEP_2025,PeakWD,-2.114863
THW_THWGT5X,SEP_2025,PeakWD,-5.921164
TAV_RN,SEP_2025,PeakWD,-5.386714
CPSES_UNIT1,SEP_2025,PeakWD,-2.114863
MIL_MILG1_2,SEP_2025,PeakWD,-4.309885
SWOOSEII_RN,SEP_2025,PeakWD,-11.193248
GRANDVW1_A_B,SEP_2025,PeakWD,1.421815
HB_HOUSTON,SEP_2025,PeakWD,-5.521999
PALMVIEW_RN,SEP_2025,PeakWD,1.884769
ETCCS_CCU,SEP_2025,PeakWD,-1.595077
SCSES_UNIT2,SEP_2025,PeakWD,-2.697394
SPLAIN1_RN,SEP_2025,PeakWD,1.637754
NBOHR_RN,SEP_2025,PeakWD,-3.893124
MONTECR1_RN,SEP_2025,PeakWD,6.050510
WIPOPA_1_2,SEP_2025,PeakWD,-1.785110
LON_RN1,SEP_2025,PeakWD,-4.293477
WHMESA_U1,SEP_2025,PeakWD,-5.744504
BOARDCRK_ALL,SEP_2025,PeakWD,-2.893129
JAY_RN_1,SEP_2025,PeakWD,-1.553740
BYRDR_ES_ALL,SEP_2025,PeakWD,-3.416833
SBE_RN_1,SEP_2025,PeakWD,-5.502232
PHO_ALL,SEP_2025,PeakWD,-1.244900
REDGATE_RN,SEP_2025,PeakWD,3.183581
TV_RN,SEP_2025,PeakWD,-5.820744
CFLATS_UNIT,SEP_2025,PeakWD,-4.086409
AMO_AMOCO_G1,SEP_2025,PeakWD,-7.333846
AMO_AMOCO_G2,SEP_2025,PeakWD,-7.333846
MERCURY_ALL,SEP_2025,PeakWD,7.412278
JCKCNTY2_ST2,SEP_2025,PeakWD,-1.823784
AMO_AMOCO_G3,SEP_2025,PeakWD,-7.333846
DOWGEN_PUN4,SEP_2025,PeakWD,-1.132135
FORMOSA_PUN2,SEP_2025,PeakWD,2.537586
DOWGEN_PUN5,SEP_2025,PeakWD,-1.132135
FORMOSA_PUN1,SEP_2025,PeakWD,2.537586
DOWGEN_PUN2,SEP_2025,PeakWD,-1.132135
CBECII_89,SEP_2025,PeakWD,-1.198179
S_HILLS_RN,SEP_2025,PeakWD,-2.692584
DOWGEN_PUN3,SEP_2025,PeakWD,-1.132135
L_FRE_ESR_RN,SEP_2025,PeakWD,5.629865
DOWGEN_PUN1,SEP_2025,PeakWD,-1.132135
SIL_SILAS_9,SEP_2025,PeakWD,1.757158
MGSES_CT123,SEP_2025,PeakWD,-4.311338
ANSON1_ALL,SEP_2025,PeakWD,-1.218257
SGM_SIGNALMT,SEP_2025,PeakWD,-10.050241
CANYONWD_ALL,SEP_2025,PeakWD,-2.316768
SIL_SILAS_6,SEP_2025,PeakWD,1.757158
A4_DGR2_RN,SEP_2025,PeakWD,-7.025506
DOWGEN_PUN6,SEP_2025,PeakWD,-1.132135
PRSPERO2_ALL,SEP_2025,PeakWD,-10.341347
BRP_SWNY_RN,SEP_2025,PeakWD,-3.416833
FAULKNER_RN,SEP_2025,PeakWD,-11.007544
BRTSW_BCW1,SEP_2025,PeakWD,-4.105672
BCK_RN,SEP_2025,PeakWD,-0.963650
WEBBER_WS_T1,SEP_2025,PeakWD,-5.141563
TRINITY_ALL,SEP_2025,PeakWD,-0.294382
COTULLA_RN,SEP_2025,PeakWD,-2.796679
HEARN_RD_RN,SEP_2025,PeakWD,4.056609
SANTACRU_ALL,SEP_2025,PeakWD,5.401109
DDPEC_GT6,SEP_2025,PeakWD,-7.433530
PAVLOV_BT_RN,SEP_2025,PeakWD,-1.294087
EBELLS_UNIT1,SEP_2025,PeakWD,-1.788428
DDPEC_GT1,SEP_2025,PeakWD,-7.433530
DDPEC_GT4,SEP_2025,PeakWD,-7.433530
DDPEC_GT2,SEP_2025,PeakWD,-7.433530
DDPEC_GT3,SEP_2025,PeakWD,-7.433530
PCT_RN,SEP_2025,PeakWD,-0.258989
FOXTROT_ALL,SEP_2025,PeakWD,7.140373
PSA_PUN4,SEP_2025,PeakWD,-6.721592
PSA_PUN5,SEP_2025,PeakWD,-6.672477
ELMCRK_RN,SEP_2025,PeakWD,-19.854082
PSA_PUN2,SEP_2025,PeakWD,-6.672477
PSA_PUN3,SEP_2025,PeakWD,-6.719999
JUNO_ALL,SEP_2025,PeakWD,-2.582687
PSA_PUN1,SEP_2025,PeakWD,-6.672477
RUSSEKST_RN,SEP_2025,PeakWD,-28.003668
RIGGIN_UNIT1,SEP_2025,PeakWD,-10.781141
BASTEN_CCU,SEP_2025,PeakWD,-4.911901
WCPP_CT2,SEP_2025,PeakWD,-1.816563
WCPP_CT1,SEP_2025,PeakWD,-1.816563
KEO_KEO_SM1,SEP_2025,PeakWD,-11.622669
NWF_NWF1,SEP_2025,PeakWD,-10.549728
HRBESS_BESS,SEP_2025,PeakWD,-10.533784
KEECHI_U1,SEP_2025,PeakWD,-4.253768
FREC_1_CCU,SEP_2025,PeakWD,-2.691618
RIONOG_CT2,SEP_2025,PeakWD,-5.080721
RIONOG_CT3,SEP_2025,PeakWD,-5.080721
