DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
11807 GOBERSW 11808 LORING_ 1,Line,From - To,191.7,191.7,Hard Constraint,DVLSPAC5,SEP_2025,PeakWE,4.45
1250 YUKONSS_ 1253 MIDWAY_8 1,Line,From - To,556.2,556.2,Hard Constraint,DWLFMET5,SEP_2025,Off-peak,0.53
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,171.9,171.9,Hard Constraint,DWLDSCO5,SEP_2025,Off-peak,3771.05
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,171.9,171.9,Hard Constraint,DWLDSCO5,SEP_2025,PeakWD,1692.84
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,171.9,171.9,Hard Constraint,DWLDSCO5,SEP_2025,PeakWE,329.06
1304 DEEPCRK_ 1311 SACROC_8 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,SEP_2025,Off-peak,1083.54
1305 SNYDER_8 1318 CHINAGRV 1,Line,To - From,-171.9,171.9,Hard Constraint,SECRDMT8,SEP_2025,PeakWD,830.24
1305 SNYDER_8 1318 CHINAGRV 1,Line,To - From,-171.9,171.9,Hard Constraint,SECRDMT8,SEP_2025,PeakWE,43.17
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,171.9,171.9,Hard Constraint,SECRDMT8,SEP_2025,PeakWD,57.73
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,171.9,171.9,Hard Constraint,SECRDMT8,SEP_2025,PeakWE,1125.64
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,SEP_2025,Off-peak,10018.97
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,SEP_2025,PeakWD,8367.68
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DSCOFAR5,SEP_2025,PeakWD,741.54
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,SEP_2025,PeakWE,2644.68
1313 ENISCKTA 1315 BRAND_8 1,Line,From - To,357.3,357.3,Hard Constraint,DMTSCOS5,SEP_2025,PeakWD,52.09
1313 ENISCKTA 1315 BRAND_8 1,Line,From - To,357.3,357.3,Hard Constraint,SSCUSU28,SEP_2025,PeakWD,5.46
1313 ENISCKTA 1315 BRAND_8 1,Line,From - To,357.3,357.3,Hard Constraint,DMTSCOS5,SEP_2025,PeakWE,20.12
1319 CHINAGRV 1378 COLOCITY 1,Line,From - To,38.7,38.7,Hard Constraint,XBSP89,SEP_2025,Off-peak,763.45
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,198.6,198.6,Hard Constraint,DSALHUT5,SEP_2025,Off-peak,1278.2
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,198.4,198.4,Hard Constraint,DSALHUT5,SEP_2025,PeakWD,58129.38
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,198.0,198.0,Hard Constraint,DSALHUT5,SEP_2025,PeakWE,16735.77
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,57.6,57.6,Hard Constraint,XBSP89,SEP_2025,Off-peak,182.28
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,57.6,57.6,Hard Constraint,DCONLNG5,SEP_2025,PeakWD,47.5
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,57.6,57.6,Hard Constraint,XBSP89,SEP_2025,PeakWE,15.84
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,182.1,182.1,Hard Constraint,DMCDSHP8,SEP_2025,PeakWD,179.36
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,171.9,171.9,Hard Constraint,DMCDSHP8,SEP_2025,PeakWE,39.28
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-171.9,171.9,Hard Constraint,SQTZWRP8,SEP_2025,Off-peak,712.46
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-179.0,179.0,Hard Constraint,SQTZWRP8,SEP_2025,PeakWD,156.73
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-171.9,171.9,Hard Constraint,SQTZWRP8,SEP_2025,PeakWE,154.81
1335 FORSANTA 11337 POLECAT 1,Line,From - To,171.9,171.9,Hard Constraint,DMCDSHP8,SEP_2025,Off-peak,249.15
1335 FORSANTA 11337 POLECAT 1,Line,From - To,171.9,171.9,Hard Constraint,DMCDSHP8,SEP_2025,PeakWD,180.18
1335 FORSANTA 11337 POLECAT 1,Line,From - To,171.9,171.9,Hard Constraint,DMCDSHP8,SEP_2025,PeakWE,90.18
1340 ESKOTA_9 6661 LONGWRTH 1,Line,From - To,40.0,40.0,Hard Constraint,SSPUSLT8,SEP_2025,Off-peak,58.5
1340 ESKOTA_9 6661 LONGWRTH 1,Line,From - To,42.9,42.9,Hard Constraint,SSPUSLT8,SEP_2025,PeakWD,204.07
1340 ESKOTA_9 6661 LONGWRTH 1,Line,From - To,38.7,38.7,Hard Constraint,SSPUSLT8,SEP_2025,PeakWE,156.85
1348 WSTBROOK 11004 RANGER9 1,Line,To - From,-57.6,57.6,Hard Constraint,XBSP89,SEP_2025,PeakWD,1.29
135582 QUEEN_ 906573 GPL_KI 1,Line,From - To,215.1,215.1,Hard Constraint,,SEP_2025,PeakWE,15.95
1378 COLOCITY 1380 PLOWBOY_ 1,Line,From - To,38.7,38.7,Hard Constraint,SFLNBHI9,SEP_2025,PeakWD,206.18
1421 WILLOWCK 150197 WTCCS_ 2,Line,To - From,-1467.9,1467.9,Hard Constraint,SWCSWT25,SEP_2025,PeakWD,10.32
1422 BOWMAN_5 17002 GARVEYR 1,Line,From - To,958.5,958.5,Hard Constraint,SBOMJC25,SEP_2025,Off-peak,21.82
1422 BOWMAN_5 17002 GARVEYR 1,Line,From - To,958.5,958.5,Hard Constraint,SBOMJC25,SEP_2025,PeakWD,17.92
1425 FISHRDSS 6101 RILEY7A 1,Line,To - From,-958.5,958.5,Hard Constraint,DBYRBOW5,SEP_2025,Off-peak,124.09
1425 FISHRDSS 6101 RILEY7A 1,Line,To - From,-958.5,958.5,Hard Constraint,DBYRBOW5,SEP_2025,PeakWD,2.67
1425 FISHRDSS 6101 RILEY7A 1,Line,To - From,-958.5,958.5,Hard Constraint,DBYRBOW5,SEP_2025,PeakWE,39.29
1430 GRHAMSES 1445 BURWICK_ 1,Line,To - From,-1505.7,1505.7,Hard Constraint,,SEP_2025,Off-peak,31.17
1430 GRHAMSES 1445 BURWICK_ 1,Line,From - To,1505.7,1505.7,Hard Constraint,,SEP_2025,Off-peak,0.99
1430 GRHAMSES 1445 BURWICK_ 1,Line,To - From,-1505.7,1505.7,Hard Constraint,,SEP_2025,PeakWD,33.6
1430 GRHAMSES 1445 BURWICK_ 1,Line,To - From,-1505.7,1505.7,Hard Constraint,,SEP_2025,PeakWE,12.96
1431 GRHAMSES 1601 GRAHAME_ 1,Line,From - To,171.9,171.9,Hard Constraint,SGRSPK25,SEP_2025,PeakWD,680.95
1431 GRHAMSES 1601 GRAHAME_ 1,Line,From - To,171.9,171.9,Hard Constraint,SGRSJC25,SEP_2025,PeakWE,44.82
1431 GRHAMSES 1601 GRAHAME_ 1,Line,From - To,171.9,171.9,Hard Constraint,SGRSPK25,SEP_2025,PeakWE,24.07
1436 PARKER_5 1506 LONG_HLL 1,Line,To - From,-1029.1,1029.1,Hard Constraint,SGRSPK25,SEP_2025,Off-peak,131.49
1436 PARKER_5 1506 LONG_HLL 1,Line,To - From,-993.7,993.7,Hard Constraint,SGRSPK25,SEP_2025,PeakWE,10.31
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,173.1,173.1,Hard Constraint,SCMNCPS5,SEP_2025,Off-peak,296.49
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,171.9,171.9,Hard Constraint,SCMNCPS5,SEP_2025,PeakWD,366.47
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,171.9,171.9,Hard Constraint,XCMB58,SEP_2025,PeakWD,1184.23
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,171.9,171.9,Hard Constraint,SCMNCPS5,SEP_2025,PeakWE,774.84
1441 COMCHESS 1667 PINKNEY_ 1,Line,From - To,171.9,171.9,Hard Constraint,SMGPBRN8,SEP_2025,PeakWD,978.87
1441 COMCHESS 1667 PINKNEY_ 1,Line,From - To,171.9,171.9,Hard Constraint,SZEPCMN8,SEP_2025,PeakWD,713.17
1464 WFALLS_S 1467 NORTHSTR 1,Line,From - To,170.1,170.1,Hard Constraint,SBOMJC25,SEP_2025,Off-peak,2366.97
1464 WFALLS_S 1467 NORTHSTR 1,Line,From - To,166.5,166.5,Hard Constraint,SBOMJC25,SEP_2025,PeakWD,6462.47
1464 WFALLS_S 1467 NORTHSTR 1,Line,From - To,169.9,169.9,Hard Constraint,SBOMJC25,SEP_2025,PeakWE,2333.71
