DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
11550 TOWERON 11582 BENNETT 1,Line,From - To,39.6,39.6,Hard Constraint,SHPWJOH9,APR_2026,Off-peak,532.42
11550 TOWERON 11582 BENNETT 1,Line,From - To,39.6,39.6,Hard Constraint,SHPWJOH9,APR_2026,PeakWE,1779.11
116 SALTY 13430 SAND_TX 1,Line,To - From,-430.2,430.2,Hard Constraint,DSALHUT5,APR_2026,Off-peak,82.04
116 SALTY 13430 SAND_TX 1,Line,To - From,-430.2,430.2,Hard Constraint,DSALHUT5,APR_2026,PeakWD,279.85
116 SALTY 13430 SAND_TX 1,Line,To - From,-430.2,430.2,Hard Constraint,DSALHUT5,APR_2026,PeakWE,112.72
11808 LORING_ 11809 COPPERH 1,Line,To - From,-209.3,209.3,Hard Constraint,DPRSPAC5,APR_2026,Off-peak,18.59
11808 LORING_ 11809 COPPERH 1,Line,To - From,-209.3,209.3,Hard Constraint,DPRSPAC5,APR_2026,PeakWD,23.52
11808 LORING_ 11809 COPPERH 1,Line,To - From,-209.3,209.3,Hard Constraint,DPRSPAC5,APR_2026,PeakWE,6.4
12527 FRMVLWS 37291 TNFRMRS 1,Line,From - To,217.8,217.8,Hard Constraint,DALNANA8,APR_2026,Off-peak,29.16
12527 FRMVLWS 37291 TNFRMRS 1,Line,To - From,-217.8,217.8,Hard Constraint,,APR_2026,Off-peak,0.06
12527 FRMVLWS 37291 TNFRMRS 1,Line,From - To,217.8,217.8,Hard Constraint,DALNANA8,APR_2026,PeakWD,167.42
12527 FRMVLWS 37291 TNFRMRS 1,Line,From - To,217.8,217.8,Hard Constraint,DALNANA8,APR_2026,PeakWE,6.45
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,176.4,176.4,Hard Constraint,DWLDSCO5,APR_2026,Off-peak,1917.05
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,176.4,176.4,Hard Constraint,DWLDSCO5,APR_2026,PeakWD,757.38
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,176.4,176.4,Hard Constraint,DWLDSCO5,APR_2026,PeakWE,210.94
1304 DEEPCRK_ 1311 SACROC_8 1,Line,To - From,-171.9,171.9,Hard Constraint,SSUNRGR8,APR_2026,Off-peak,179.74
1304 DEEPCRK_ 1311 SACROC_8 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,APR_2026,PeakWD,84.61
1306 SNYDER_9 1376 AMOCOTAP 1,Line,From - To,39.6,39.6,Hard Constraint,SSNYCGR8,APR_2026,Off-peak,282.45
1309 BLUFCKTA 1310 KNAPP_8 1,Line,To - From,-176.4,176.4,Hard Constraint,DMTSCOS5,APR_2026,PeakWD,405.64
1309 BLUFCKTA 1310 KNAPP_8 1,Line,To - From,-176.4,176.4,Hard Constraint,DMTSCOS5,APR_2026,PeakWE,210.13
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,176.4,176.4,Hard Constraint,DSCOTKW5,APR_2026,Off-peak,406.63
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,176.4,176.4,Hard Constraint,DSCOTKW5,APR_2026,PeakWD,86.12
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,176.4,176.4,Hard Constraint,SECRDMT8,APR_2026,PeakWD,1662.34
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,176.4,176.4,Hard Constraint,DSCOTKW5,APR_2026,PeakWE,466.89
