SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,APR_2026,PeakWD,-3.128365
LMWD_SLR_RN,APR_2026,PeakWD,-2.605641
DSWL_BES1,APR_2026,PeakWD,-1.857335
HRNT_SLR_RN,APR_2026,PeakWD,7.815521
SBEAN_BESS,APR_2026,PeakWD,-3.029614
VISION_RN,APR_2026,PeakWD,-1.141936
GRIF_TRL_RN,APR_2026,PeakWD,5.361255
PERE_SLR_RN,APR_2026,PeakWD,1.691659
VIC_VICTORG6,APR_2026,PeakWD,-0.402105
VIC_VICTORG5,APR_2026,PeakWD,-0.402105
MYR_ALL,APR_2026,PeakWD,-3.702187
HAMI_BESS_RN,APR_2026,PeakWD,-6.532752
BRP_ZPT1_RN,APR_2026,PeakWD,-7.005904
N_MRD_ESR_RN,APR_2026,PeakWD,-8.246486
SPNC_SPNCE_5,APR_2026,PeakWD,6.079892
RIOG_ESR2_RN,APR_2026,PeakWD,-4.511205
VORT_ALL_RN,APR_2026,PeakWD,5.043236
SPNC_SPNCE_4,APR_2026,PeakWD,6.079892
SAN_SANMIGG1,APR_2026,PeakWD,-1.000000
WRSBES_BESS1,APR_2026,PeakWD,-3.211612
REDBARN_RN,APR_2026,PeakWD,-2.816971
CEDROHI_CHW1,APR_2026,PeakWD,8.981047
CMPD_SLR_RN,APR_2026,PeakWD,12.926263
HARLIN_1_RN,APR_2026,PeakWD,-5.391202
SC2SES_UNIT1,APR_2026,PeakWD,-1.881965
MCLNSLR_RN,APR_2026,PeakWD,-5.350320
CBECII_CT7,APR_2026,PeakWD,-0.919067
WILDWIND_ALL,APR_2026,PeakWD,0.949491
MU_RN,APR_2026,PeakWD,-6.851883
TGCCS_ALL,APR_2026,PeakWD,-1.358014
HB_NORTH,APR_2026,PeakWD,-0.390000
COTPLNS_RN,APR_2026,PeakWD,7.670958
SIG_SLR_RN,APR_2026,PeakWD,-1.104798
CISC_RN,APR_2026,PeakWD,-1.579295
TYSN_SLR_RN,APR_2026,PeakWD,-0.045374
CALAVER_JKS2,APR_2026,PeakWD,-5.066903
CALAVER_JKS1,APR_2026,PeakWD,-5.066903
FALFUR_RN2,APR_2026,PeakWD,3.817895
RN_RHN_ESR,APR_2026,PeakWD,-6.443105
FORTMA_RN,APR_2026,PeakWD,-4.191453
CALAVER_JTD2,APR_2026,PeakWD,-6.242610
CALAVER_JTD1,APR_2026,PeakWD,-6.242610
HHGT_KENDAL,APR_2026,PeakWD,-3.734479
BRPMAGNO_RN,APR_2026,PeakWD,-7.790722
PEARSALL_RN,APR_2026,PeakWD,-3.159024
LASSO_GEN,APR_2026,PeakWD,-2.968676
HEN_RN,APR_2026,PeakWD,-2.019601
LGE_LGE_GT2,APR_2026,PeakWD,1.853273
LGE_LGE_GT1,APR_2026,PeakWD,1.853273
RIPPEY_ALL,APR_2026,PeakWD,3.610095
BRP_PBL2_RN,APR_2026,PeakWD,-8.865808
DC_R,APR_2026,PeakWD,-1.049859
PAVO_ESS_ALL,APR_2026,PeakWD,-2.914623
ESCONDID_ESR,APR_2026,PeakWD,-8.826965
PINEFRST_RN,APR_2026,PeakWD,-0.990000
SYBR_SLR_RN,APR_2026,PeakWD,-2.358922
DC_N,APR_2026,PeakWD,4.958965
PISG_RN_ALL,APR_2026,PeakWD,-1.177508
ALGOD_ALL_RN,APR_2026,PeakWD,3.543573
DC_L,APR_2026,PeakWD,-3.870320
TNSKA_CCU,APR_2026,PeakWD,-0.055334
VANCOURT_RN,APR_2026,PeakWD,7.434731
LPCCS_UNIT1,APR_2026,PeakWD,0.010000
DC_E,APR_2026,PeakWD,-0.791530
LPCCS_UNIT2,APR_2026,PeakWD,0.010000
NCARBID_PUN1,APR_2026,PeakWD,-2.823081
NCARBID_PUN2,APR_2026,PeakWD,-2.823205
K2_DGR1_RN,APR_2026,PeakWD,-7.301856
CN_BRKS_UNT1,APR_2026,PeakWD,7.689133
FAGUSSLR_RN,APR_2026,PeakWD,6.908623
QALSW_ALL,APR_2026,PeakWD,-2.082476
LZ_AEN,APR_2026,PeakWD,-5.344507
WAP_WAPGT_1,APR_2026,PeakWD,-5.148787
TXCTY_CTB,APR_2026,PeakWD,-8.262992
TXCTY_CTC,APR_2026,PeakWD,-8.262992
TORR_ALL,APR_2026,PeakWD,10.000000
TXCTY_CTA,APR_2026,PeakWD,-8.262992
REDFISH_ALL,APR_2026,PeakWD,2.572306
PANDA_T2_ST1,APR_2026,PeakWD,-1.928922
SWT_BESS_RN,APR_2026,PeakWD,-0.281896
DECKER_GT,APR_2026,PeakWD,-5.894026
OBERON_U1,APR_2026,PeakWD,-2.947141
GRAN_SLR_RN,APR_2026,PeakWD,-5.426402
MISAE_GEN_RN,APR_2026,PeakWD,6.906977
N_AL_BESS_RN,APR_2026,PeakWD,-4.696486
ANEM_ESS_RN,APR_2026,PeakWD,6.729667
KNAPP_RN,APR_2026,PeakWD,-6.818229
ASCK_SLR_RN,APR_2026,PeakWD,11.962838
LOWR_ESS_RN,APR_2026,PeakWD,-6.278016
ZIER_SLR_ALL,APR_2026,PeakWD,-4.121570
RSK_RN,APR_2026,PeakWD,2.707740
BAYC_BESS_RN,APR_2026,PeakWD,-2.514550
WHCCS2_4,APR_2026,PeakWD,-0.025541
RN_ECEC_HOLT,APR_2026,PeakWD,-2.575722
BOSQ_BSQS_12,APR_2026,PeakWD,2.090000
FLTCK_SSI,APR_2026,PeakWD,-1.130969
NED_NEDIN_G1,APR_2026,PeakWD,-1.489930
LONEWOLF_ALL,APR_2026,PeakWD,1.706032
NED_NEDIN_G2,APR_2026,PeakWD,-1.239930
NED_NEDIN_G3,APR_2026,PeakWD,-0.742804
BRISCOE_WIND,APR_2026,PeakWD,7.485710
ELSAUZ_ALL,APR_2026,PeakWD,11.172004
BOSQ_BSQSU_5,APR_2026,PeakWD,2.090000
RTLSNAKE_BT,APR_2026,PeakWD,-3.063455
COTTON_PAP2,APR_2026,PeakWD,2.081701
JUNCTION_RN,APR_2026,PeakWD,-7.900569
HI_LONEB_RN1,APR_2026,PeakWD,-0.954541
TGS_GT01,APR_2026,PeakWD,-3.095106
CRWN_SLR_UN1,APR_2026,PeakWD,-2.543836
FERGCC_GT2_3,APR_2026,PeakWD,-4.204421
MLSES_UNIT1,APR_2026,PeakWD,-0.511321
MLSES_UNIT2,APR_2026,PeakWD,-0.511321
MLSES_UNIT3,APR_2026,PeakWD,-0.511321
ROW_ALL,APR_2026,PeakWD,-0.601010
MWEC_G1,APR_2026,PeakWD,2.882234
E_BLACK_RN,APR_2026,PeakWD,-4.213782
JAR_RN,APR_2026,PeakWD,-1.372856
MILTON_RN,APR_2026,PeakWD,-3.706358
