DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1304 DEEPCRK_ 1311 SACROC_8 1,Line,To - From,-179.1,179.1,Hard Constraint,DMTSCOS5,JAN_2026,Off-peak,303.59
1304 DEEPCRK_ 1311 SACROC_8 1,Line,To - From,-179.1,179.1,Hard Constraint,DMTSCOS5,JAN_2026,PeakWD,244.44
1309 BLUFCKTA 1310 KNAPP_8 1,Line,To - From,-190.8,190.8,Hard Constraint,DMTSCOS5,JAN_2026,Off-peak,270.02
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,190.8,190.8,Hard Constraint,SECRDMT8,JAN_2026,Off-peak,973.17
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,190.8,190.8,Hard Constraint,SECRDMT8,JAN_2026,PeakWD,3251.19
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,190.8,190.8,Hard Constraint,SECRDMT8,JAN_2026,PeakWE,1112.93
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-190.8,190.8,Hard Constraint,DMTSCOS5,JAN_2026,Off-peak,13648.77
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-190.8,190.8,Hard Constraint,DMTSCOS5,JAN_2026,PeakWD,12803.88
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-190.8,190.8,Hard Constraint,XWLV258,JAN_2026,PeakWD,433.2
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-190.8,190.8,Hard Constraint,DMTSCOS5,JAN_2026,PeakWE,4330.94
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-190.8,190.8,Hard Constraint,XWLV258,JAN_2026,PeakWE,1125.58
1318 CHINAGRV 10119 TRIBUTA 1,Line,From - To,190.8,190.8,Hard Constraint,SW_LVLT5,JAN_2026,Off-peak,7390.64
1318 CHINAGRV 10119 TRIBUTA 1,Line,From - To,190.8,190.8,Hard Constraint,SW_LVLT5,JAN_2026,PeakWD,2478.5
1318 CHINAGRV 10119 TRIBUTA 1,Line,From - To,190.8,190.8,Hard Constraint,SW_LVLT5,JAN_2026,PeakWE,1656.71
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,195.3,195.3,Hard Constraint,XEI258,JAN_2026,Off-peak,896.02
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,195.3,195.3,Hard Constraint,XEI258,JAN_2026,PeakWD,687.69
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,195.3,195.3,Hard Constraint,XEI258,JAN_2026,PeakWE,331.81
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-195.3,195.3,Hard Constraint,SMCDNAV8,JAN_2026,Off-peak,86.71
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-195.3,195.3,Hard Constraint,SMCDNAV8,JAN_2026,PeakWD,106.31
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-195.3,195.3,Hard Constraint,SMCDNAV8,JAN_2026,PeakWE,22.63
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-194.4,194.4,Hard Constraint,SMCDNAV8,JAN_2026,Off-peak,2106.56
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-194.4,194.4,Hard Constraint,SMCDNAV8,JAN_2026,PeakWD,682.79
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-194.4,194.4,Hard Constraint,SMCDNAV8,JAN_2026,PeakWE,567.25
135582 QUEEN_ 906557 GPL_KI 1,Line,From - To,215.1,215.1,Hard Constraint,SNORODE5,JAN_2026,Off-peak,35.33
135582 QUEEN_ 906557 GPL_KI 1,Line,To - From,-215.1,215.1,Hard Constraint,SFTLMES8,JAN_2026,PeakWD,20.16
135582 QUEEN_ 906557 GPL_KI 1,Line,From - To,215.1,215.1,Hard Constraint,,JAN_2026,PeakWD,175.7
135582 QUEEN_ 906557 GPL_KI 1,Line,From - To,215.1,215.1,Hard Constraint,SBGLTWI8,JAN_2026,PeakWE,23.42
135582 QUEEN_ 906557 GPL_KI 1,Line,To - From,-215.1,215.1,Hard Constraint,,JAN_2026,PeakWE,20.85
1378 COLOCITY 1380 PLOWBOY_ 1,Line,From - To,43.2,43.2,Hard Constraint,SFLNBHI9,JAN_2026,PeakWD,81.21
1380 PLOWBOY_ 1381 SWEETWTR 1,Line,To - From,-43.2,43.2,Hard Constraint,SFLNBHI9,JAN_2026,Off-peak,26.66
1380 PLOWBOY_ 1381 SWEETWTR 1,Line,To - From,-43.2,43.2,Hard Constraint,SFLNBHI9,JAN_2026,PeakWE,205.18
139 LAKEBELTO 3610 BELTON1_ 1,Line,To - From,-242.1,242.1,Hard Constraint,SCAYBOS8,JAN_2026,Off-peak,0.65
139 LAKEBELTO 3610 BELTON1_ 1,Line,To - From,-242.1,242.1,Hard Constraint,SCAYBOS8,JAN_2026,PeakWE,7.48
1421 WILLOWCK 150197 WTCCS_ 2,Line,From - To,1467.9,1467.9,Hard Constraint,SWCSWT25,JAN_2026,Off-peak,74.61
1421 WILLOWCK 150197 WTCCS_ 2,Line,From - To,1467.9,1467.9,Hard Constraint,SWCSWT25,JAN_2026,PeakWD,97.27
1421 WILLOWCK 150197 WTCCS_ 2,Line,From - To,1467.9,1467.9,Hard Constraint,SWCSWT25,JAN_2026,PeakWE,2.8
1436 PARKER_5 1506 LONG_HLL 1,Line,To - From,-1126.2,1126.2,Hard Constraint,DJCKHND5,JAN_2026,PeakWE,138.79
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,195.3,195.3,Hard Constraint,SCMNCPS5,JAN_2026,Off-peak,1211.05
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,195.3,195.3,Hard Constraint,SCMNCPS5,JAN_2026,PeakWD,1892.05
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,195.3,195.3,Hard Constraint,SCMNCPS5,JAN_2026,PeakWE,1055.57
1473 NAVYKSS1 1604 ANARENE1 1,Line,From - To,44.1,44.1,Hard Constraint,SSCLWF18,JAN_2026,Off-peak,885.29
1473 NAVYKSS1 1604 ANARENE1 1,Line,From - To,44.1,44.1,Hard Constraint,SSCLWF18,JAN_2026,PeakWD,854.76
1473 NAVYKSS1 1604 ANARENE1 1,Line,From - To,44.1,44.1,Hard Constraint,SSCLWF18,JAN_2026,PeakWE,81.19
1510 DENTN_CR 1568 ALLISON_ 5,Line,From - To,225.0,225.0,Hard Constraint,SMYRSPR8,JAN_2026,PeakWE,49.08
1578 JUNIPER_ 1599 BARTON_8 1,Line,To - From,-195.5,195.5,Hard Constraint,DJCKHND5,JAN_2026,Off-peak,39.56
158 PANCAKE 37580 TNPANCA 1,Line,To - From,-64.8,64.8,Hard Constraint,DFRYTM58,JAN_2026,Off-peak,520.36
158 PANCAKE 37580 TNPANCA 1,Line,To - From,-64.8,64.8,Hard Constraint,DFRYTM58,JAN_2026,PeakWD,853.95
158 PANCAKE 37580 TNPANCA 1,Line,To - From,-64.8,64.8,Hard Constraint,DFRYBE58,JAN_2026,PeakWE,515.4
160008 DC_R_B 910352 RAILRO 1,Line,To - From,-309.6,309.6,Hard Constraint,,JAN_2026,Off-peak,16.57
160008 DC_R_B 910352 RAILRO 1,Line,To - From,-309.6,309.6,Hard Constraint,DMTSCOS5,JAN_2026,PeakWD,13.44
160008 DC_R_B 910352 RAILRO 1,Line,To - From,-309.6,309.6,Hard Constraint,DSKYCAL5,JAN_2026,PeakWE,1.6
1602 GRAHAM_9 1603 OLNEY_P9 1,Line,To - From,-44.1,44.1,Hard Constraint,DGRMGRS8,JAN_2026,Off-peak,823.49
1602 GRAHAM_9 1603 OLNEY_P9 1,Line,To - From,-44.1,44.1,Hard Constraint,DGRMGRS8,JAN_2026,PeakWE,359.69
1603 OLNEY_P9 1605 CWDRDSW1 1,Line,To - From,-44.1,44.1,Hard Constraint,DGRMGRS8,JAN_2026,Off-peak,225.14
1603 OLNEY_P9 1605 CWDRDSW1 1,Line,To - From,-44.1,44.1,Hard Constraint,DGRMGRS8,JAN_2026,PeakWD,796.12
1603 OLNEY_P9 1605 CWDRDSW1 1,Line,To - From,-44.1,44.1,Hard Constraint,DGRMGRS8,JAN_2026,PeakWE,252.51
1621 EASTLAND 1623 MORTNVAL 3,Line,To - From,-29.7,29.7,Hard Constraint,SCLCGTN8,JAN_2026,Off-peak,3191.96
1621 EASTLAND 1623 MORTNVAL 3,Line,To - From,-29.7,29.7,Hard Constraint,SCLCGRS8,JAN_2026,PeakWD,1040.97
1621 EASTLAND 1623 MORTNVAL 3,Line,To - From,-29.7,29.7,Hard Constraint,SCLCGTN8,JAN_2026,PeakWD,8110.43
1621 EASTLAND 1623 MORTNVAL 3,Line,To - From,-29.7,29.7,Hard Constraint,SCLCGTN8,JAN_2026,PeakWE,557.41
1638 SLSTR1PP 1642 FLATCRK_ 1,Line,From - To,67.3,67.3,Hard Constraint,,JAN_2026,Off-peak,275.59
1638 SLSTR1PP 1642 FLATCRK_ 1,Line,From - To,67.3,67.3,Hard Constraint,,JAN_2026,PeakWD,358.98
1638 SLSTR1PP 1642 FLATCRK_ 1,Line,From - To,67.3,67.3,Hard Constraint,,JAN_2026,PeakWE,40.19
1692 PARIS_SW 11699 WOODARD 1,Line,From - To,1125.9,1125.9,Hard Constraint,,JAN_2026,Off-peak,5.43
1692 PARIS_SW 11699 WOODARD 1,Line,From - To,1125.9,1125.9,Hard Constraint,DPRSPAC5,JAN_2026,PeakWD,5.88
1692 PARIS_SW 11699 WOODARD 1,Line,To - From,-1125.9,1125.9,Hard Constraint,SWXOSTE9,JAN_2026,PeakWD,0.84
1692 PARIS_SW 11699 WOODARD 1,Line,To - From,-1125.9,1125.9,Hard Constraint,DMGSBIT5,JAN_2026,PeakWE,3.14
1692 PARIS_SW 11699 WOODARD 1,Line,From - To,1125.9,1125.9,Hard Constraint,DTWIDIV5,JAN_2026,PeakWE,0.06
1692 PARIS_SW 140067 LPCCS_ 1,Line,From - To,1710.0,1710.0,Hard Constraint,DGILLIM5,JAN_2026,Off-peak,3.95
1692 PARIS_SW 140067 LPCCS_ 1,Line,To - From,-1710.0,1710.0,Hard Constraint,SAEEABE5,JAN_2026,PeakWD,4.2
