DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,41.0,41.0,Hard Constraint,SARYYUC8,DEC_2025,Off-peak,85.85
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,40.7,40.7,Hard Constraint,SARYYUC8,NOV_2025,Off-peak,13.78
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,40.0,40.0,Hard Constraint,SARYYUC8,OCT_2025,Off-peak,13
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,39.3,39.3,Hard Constraint,SARYYUC8,AUG_2025,PeakWD,165.19
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,39.3,39.3,Hard Constraint,SARYYUC8,JUL_2025,PeakWD,31.01
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,39.7,39.7,Hard Constraint,SARYYUC8,SEP_2025,PeakWD,57.38
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,21.4,21.4,Hard Constraint,DWLFMOS5,DEC_2025,Off-peak,13219.97
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,21.2,21.2,Hard Constraint,DWLFMOS5,NOV_2025,Off-peak,13587.58
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,21.4,21.4,Hard Constraint,DWLFMOS5,DEC_2025,PeakWD,22708.37
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,21.2,21.2,Hard Constraint,DWLFMOS5,NOV_2025,PeakWD,18278.05
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,21.4,21.4,Hard Constraint,DWLFMOS5,DEC_2025,PeakWE,10516.73
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,21.2,21.2,Hard Constraint,DWLFMOS5,NOV_2025,PeakWE,13116.81
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-106.5,106.5,Hard Constraint,DMGSBTR5,AUG_2025,Off-peak,1232.01
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-122.3,122.3,Hard Constraint,DMGSBIT5,DEC_2025,Off-peak,938.75
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-106.5,106.5,Hard Constraint,DMGSBTR5,JUL_2025,Off-peak,766.81
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-119.4,119.4,Hard Constraint,DMGSBIT5,NOV_2025,Off-peak,40.62
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-119.4,119.4,Hard Constraint,DMGSBTR5,NOV_2025,Off-peak,588.1
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-113.2,113.2,Hard Constraint,DMGSBTR5,OCT_2025,Off-peak,615.48
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-109.8,109.8,Hard Constraint,DMGSBTR5,SEP_2025,Off-peak,1110.16
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-106.5,106.5,Hard Constraint,DMGSBTR5,AUG_2025,PeakWD,770.43
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-122.3,122.3,Hard Constraint,DMGSBIT5,DEC_2025,PeakWD,225.08
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-122.3,122.3,Hard Constraint,DMGSBTR5,DEC_2025,PeakWD,377.93
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-122.3,122.3,Hard Constraint,DSWECCR5,DEC_2025,PeakWD,68.16
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-106.5,106.5,Hard Constraint,DMGSBIT5,JUL_2025,PeakWD,25.42
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-106.5,106.5,Hard Constraint,DMGSBTR5,JUL_2025,PeakWD,512.16
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-119.4,119.4,Hard Constraint,DMGSBIT5,NOV_2025,PeakWD,139.4
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-119.4,119.4,Hard Constraint,DMGSBTR5,NOV_2025,PeakWD,625.32
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-113.2,113.2,Hard Constraint,DMGSBTR5,OCT_2025,PeakWD,487.75
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-109.8,109.8,Hard Constraint,DMGSBIT5,SEP_2025,PeakWD,175.6
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-109.8,109.8,Hard Constraint,DMGSBTR5,SEP_2025,PeakWD,712.99
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-106.5,106.5,Hard Constraint,DMGSBIT5,AUG_2025,PeakWE,81.3
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-106.5,106.5,Hard Constraint,DMGSBTR5,AUG_2025,PeakWE,413.49
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-122.3,122.3,Hard Constraint,DMGSBIT5,DEC_2025,PeakWE,297.78
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-122.3,122.3,Hard Constraint,DSCOTKW5,DEC_2025,PeakWE,68.55
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-106.5,106.5,Hard Constraint,DMGSBIT5,JUL_2025,PeakWE,19.56
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-106.5,106.5,Hard Constraint,DMGSBTR5,JUL_2025,PeakWE,230.01
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-119.4,119.4,Hard Constraint,DMGSBIT5,NOV_2025,PeakWE,372.02
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-119.4,119.4,Hard Constraint,DSCOTKW5,NOV_2025,PeakWE,17.15
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-113.2,113.2,Hard Constraint,DMGSBIT5,OCT_2025,PeakWE,102.26
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-113.2,113.2,Hard Constraint,DMGSBTR5,OCT_2025,PeakWE,100.61
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-113.2,113.2,Hard Constraint,DSWECCR5,OCT_2025,PeakWE,37.94
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-109.8,109.8,Hard Constraint,DMGSBIT5,SEP_2025,PeakWE,113.61
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-109.8,109.8,Hard Constraint,DMGSBTR5,SEP_2025,PeakWE,326.68
1030 MRGNCRK_ 71050 L_BITTC 1,Line,To - From,-113.2,113.2,Hard Constraint,SABMBTR5,OCT_2025,Off-peak,59.5
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,18.5,18.5,Hard Constraint,XEIN58,AUG_2025,Off-peak,8923.87
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,21.2,21.2,Hard Constraint,XEI258,DEC_2025,Off-peak,7753.53
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,18.5,18.5,Hard Constraint,XEI258,JUL_2025,Off-peak,11271.54
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,20.7,20.7,Hard Constraint,XEIN58,NOV_2025,Off-peak,7702.73
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,19.6,19.6,Hard Constraint,XEIN58,OCT_2025,Off-peak,11849.61
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,19.1,19.1,Hard Constraint,XEIN58,SEP_2025,Off-peak,9411.67
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,18.5,18.5,Hard Constraint,XEIN58,AUG_2025,PeakWD,9278.99
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,21.2,21.2,Hard Constraint,XEI258,DEC_2025,PeakWD,8298.88
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,18.5,18.5,Hard Constraint,XEI258,JUL_2025,PeakWD,11249.45
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,20.7,20.7,Hard Constraint,XEIN58,NOV_2025,PeakWD,6233.4
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,19.6,19.6,Hard Constraint,XEIN58,OCT_2025,PeakWD,12107.84
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,19.1,19.1,Hard Constraint,XEIN58,SEP_2025,PeakWD,9337.65
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,18.5,18.5,Hard Constraint,XEI258,AUG_2025,PeakWE,2935.09
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,21.2,21.2,Hard Constraint,XEI258,DEC_2025,PeakWE,1989.75
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,18.5,18.5,Hard Constraint,XEI258,JUL_2025,PeakWE,3748.65
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,20.7,20.7,Hard Constraint,XEIN58,NOV_2025,PeakWE,2562.66
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,19.6,19.6,Hard Constraint,XEIN58,OCT_2025,PeakWE,3074.93
1032 MRGNCRK_ 1333 MCDONALD 1,Line,From - To,19.1,19.1,Hard Constraint,XEIN58,SEP_2025,PeakWE,2550.35
1033 MRGNCRK_ 1348 WSTBROOK 1,Line,From - To,6.5,6.5,Hard Constraint,XBSP89,OCT_2025,Off-peak,428.77
1033 MRGNCRK_ 1348 WSTBROOK 1,Line,From - To,6.2,6.2,Hard Constraint,XBSP89,AUG_2025,PeakWD,354.8
1033 MRGNCRK_ 1348 WSTBROOK 1,Line,From - To,6.2,6.2,Hard Constraint,XBSP89,JUL_2025,PeakWD,210.22
1033 MRGNCRK_ 1348 WSTBROOK 1,Line,From - To,6.5,6.5,Hard Constraint,XBSP89,OCT_2025,PeakWD,86.95
1033 MRGNCRK_ 1348 WSTBROOK 1,Line,From - To,7.1,7.1,Hard Constraint,XBSP89,DEC_2025,PeakWE,79.89
1033 MRGNCRK_ 1348 WSTBROOK 1,Line,From - To,6.9,6.9,Hard Constraint,XBSP89,NOV_2025,PeakWE,278.17
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,106.5,106.5,Hard Constraint,SBAKCED5,AUG_2025,Off-peak,1049.1
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,106.5,106.5,Hard Constraint,SQALODE5,AUG_2025,Off-peak,259.21
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,106.5,106.5,Hard Constraint,SBAKCED5,JUL_2025,Off-peak,706.7
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,106.5,106.5,Hard Constraint,SQALODE5,JUL_2025,Off-peak,444.32
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,109.8,109.8,Hard Constraint,SBAKCED5,SEP_2025,Off-peak,146.66
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,109.8,109.8,Hard Constraint,SQALODE5,SEP_2025,Off-peak,449.43
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,106.5,106.5,Hard Constraint,SQALODE5,AUG_2025,PeakWD,219.76
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,106.5,106.5,Hard Constraint,SW_BLNG5,AUG_2025,PeakWD,290.02
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,106.5,106.5,Hard Constraint,SQALODE5,JUL_2025,PeakWD,300.83
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,106.5,106.5,Hard Constraint,SW_BLNG5,JUL_2025,PeakWD,249.03
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,113.2,113.2,Hard Constraint,SW_BLNG5,OCT_2025,PeakWD,311.26
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,109.8,109.8,Hard Constraint,SW_BLNG5,SEP_2025,PeakWD,114.52
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,106.5,106.5,Hard Constraint,SW_BLNG5,AUG_2025,PeakWE,152.46
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,106.5,106.5,Hard Constraint,SQALODE5,JUL_2025,PeakWE,115.54
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,106.5,106.5,Hard Constraint,SW_BLNG5,JUL_2025,PeakWE,54.98
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,113.2,113.2,Hard Constraint,SW_BLNG5,OCT_2025,PeakWE,9.62
1058 LONGSHOR 1125 MIDESSAS 1,Line,From - To,109.8,109.8,Hard Constraint,SW_BLNG5,SEP_2025,PeakWE,76.01
1064 SUN_8 1067 GOLDENSW 1,Line,To - From,-39.3,39.3,Hard Constraint,SECRLCP8,JUL_2025,PeakWD,80.96
1064 SUN_8 1067 GOLDENSW 1,Line,To - From,-39.3,39.3,Hard Constraint,SECRLCP8,JUL_2025,PeakWE,35.06
